"","Taxonomic_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sig","lab","xvals","yvals","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"3629","3629",47.073766405034,-0.377664529952792,0.673655373422219,-0.573820313591894,0.56608940107893,0.999599735494037,"NS",NA,-0.377664529952792,0.56608940107893,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Malvaceae",NA,NA
"3647","3647",0.425322910999859,-0.101049748119956,0.698286788982524,-0.286028786814731,0.774856073508023,0.999599735494037,"NS",NA,-0.101049748119956,0.774856073508023,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Caricaceae",NA,NA
"3650","3650",39.7697272121054,1.32216766513646,0.728859697953801,1.86860612690562,0.0616776327294766,0.999599735494037,"FC",NA,1.32216766513646,0.0616776327294766,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae",NA,NA
"3680","3680",0.233116788870208,-0.0683989246900894,0.694272060254659,-0.0923254445090406,0.926439472908538,0.999599735494037,"NS",NA,-0.0683989246900894,0.926439472908538,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Cucurbitales","Begoniaceae",NA,NA
"3688","3688",6.09680454169074,-0.13391964324556,0.777894129908415,-0.168781714804971,0.865968341443507,0.999599735494037,"NS",NA,-0.13391964324556,0.865968341443507,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae",NA,NA
"3700","3700",298.328826491163,1.60149511710451,0.664116406418552,2.39047693907059,0.0168265058245284,0.999599735494037,"FC",NA,1.60149511710451,0.0168265058245284,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae",NA,NA
"3745","3745",188.860843124062,0.85431973616292,0.702916800394448,1.27512515554048,0.20226494690954,0.999599735494037,"NS",NA,0.85431973616292,0.20226494690954,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae",NA,NA
"3792","3792",1.73259418875667,-0.402496469786314,0.848565257128017,-0.48284194041851,0.629207968919092,0.999599735494037,"NS",NA,-0.402496469786314,0.629207968919092,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Saxifragaceae",NA,NA
"3803","3803",668.030913390117,0.0207231671475805,0.715772731365119,0.0245110804584904,0.980444945443372,0.999599735494037,"NS",NA,0.0207231671475805,0.980444945443372,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae",NA,NA
"3928","3928",55.2922409368203,-0.0808311942462571,0.756408930057905,-0.169084081419436,0.865730505834173,0.999599735494037,"NS",NA,-0.0808311942462571,0.865730505834173,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Lythraceae",NA,NA
"3931","3931",3001.27802724634,-0.736128860251083,0.795706559486784,-0.883733119945614,0.376840297046268,0.999599735494037,"NS",NA,-0.736128860251083,0.376840297046268,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Myrtaceae",NA,NA
"3934","3934",0.189563543886387,0.241851628799048,0.692201522075752,0.350597774655596,0.725890126264132,0.999599735494037,"NS",NA,0.241851628799048,0.725890126264132,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Onagraceae",NA,NA
"3977","3977",14.8828111083515,0.436808191866074,0.76144022599995,0.565948034352264,0.571429106834685,0.999599735494037,"NS",NA,0.436808191866074,0.571429106834685,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae",NA,NA
"4011","4011",97.5454660035158,0.158790888031145,0.754620089654162,0.224385707209566,0.822457191161136,0.999599735494037,"NS",NA,0.158790888031145,0.822457191161136,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Anacardiaceae",NA,NA
"4027","4027",1.75305245455375,-0.194247679250582,0.869734135638118,-0.27569331077276,0.782783633828367,0.999599735494037,"NS",NA,-0.194247679250582,0.782783633828367,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Geraniales","Geraniaceae",NA,NA
"4037","4037",3.65467537349669,0.00635581262877691,0.845410087811604,-0.000501657185030702,0.999599735494037,0.999599735494037,"NS",NA,0.00635581262877691,0.999599735494037,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae",NA,NA
