"","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7"
"49840",22.7851999160485,0,2.39367442939934,0,8.68846792253137,0,1.79584485779821,0
"50236",2.53168887956094,0.937375560111837,2.99209303674918,0,2.55543174192099,0,0,0
"50452",1.26584443978047,0.937375560111837,1.19683721469967,0,0.511086348384198,0,0.598614952599404,5.49077573391586
"50719",1.26584443978047,0,0,0,0,0,0,0
"51503",11.3925999580242,1.87475112022367,4.18893025144885,1.72654917895514,14.8215041031417,4.41149047234625,1.19722990519881,0
"51543",1.26584443978047,0,0,0,0,0,0,0
"51953",2.53168887956094,0.937375560111837,7.77944189554787,0,2.04434539353679,20.9545797436447,10.1764541941899,0
"53346",39.2411776331946,0,1.79525582204951,0,13.2882450579892,0,0.598614952599404,0
"53409",1.26584443978047,0,0,0,0,0,0.598614952599404,0
"55211",1.26584443978047,5.62425336067102,2.39367442939934,8.6327458947757,1.0221726967684,0,4.78891962079523,27.4538786695793
"55213",3.79753331934142,0,0,0,1.53325904515259,0,0,0
"55513",81.0140441459502,105.923438292638,75.4007445260793,34.5309835791028,33.2206126449729,91.5384273011847,67.6434896437326,5.49077573391586
"55577",6.32922219890236,0,0,5.17964753686542,1.0221726967684,0,0,5.49077573391586
"55601",1.26584443978047,0,0.598418607349836,0,0.511086348384198,0,0,0
"56065",1.26584443978047,0,0.598418607349836,1.72654917895514,0.511086348384198,0.551436309043281,1.79584485779821,0
"56458",1.26584443978047,0,0,0,0,0,0.598614952599404,0
"58331",7.59506663868283,27.1838912432433,27.5272559380925,18.9920409685065,1.0221726967684,8.27154463564922,15.5639887675845,0
"58860",82.2798885857307,0,4.78734885879869,0,54.6862392771092,1.10287261808656,1.79584485779821,0
"59689",0,0,0,0,0,0,0,0
"59814",20.2535110364876,0,3.59051164409902,0,17.3769358450627,0,8.97922428899106,0
"60093",1.26584443978047,0,0,0,0,0,0,0
"61459",0,0,0,0,0,0,0,0
"61645",2.53168887956094,0,0,1.72654917895514,2.04434539353679,0,0.598614952599404,5.49077573391586
"61651",1.26584443978047,0,0,0,10.7328133160682,0,0,0
"61652",2.53168887956094,0,0,0,0,0,0.598614952599404,0
"62322",10.1267555182438,0,0,0,3.06651809030519,0,0,0
"62625",6.32922219890236,14.0606334016775,11.3699535396469,1.72654917895514,8.17738157414717,3.86005416330297,13.1695289571869,0
"63103",1.26584443978047,0.937375560111837,0,5.17964753686542,0.511086348384198,0,0.598614952599404,16.4723272017476
"63612",764.570041627405,0.937375560111837,0.598418607349836,0,583.14952350637,2.20574523617312,0,5.49077573391586
"65700",12.6584443978047,0,1.79525582204951,0,11.2438996644524,0,3.59168971559642,0
"66269",2.53168887956094,0,0,0,8.17738157414717,1.10287261808656,1.79584485779821,0
"67780",2.53168887956094,0,0,0,0.511086348384198,0,0,0
"69218",1283.5662619374,2.81212668033551,5.38576746614852,1.72654917895514,683.833534138057,1.65430892712984,7.78199438379225,10.9815514678317
"69220",1.26584443978047,0,0,0,2.55543174192099,0,0,0
"69319",1.26584443978047,0,0,0,0.511086348384198,0,0,0
"71139",27.8485776751704,41.2445246449208,4657.49202100377,778.673679708769,13.2882450579892,207.891488509317,7910.69659860112,400.826628575858
"71633",31.6461109945118,0,0.598418607349836,0,3.06651809030519,0.551436309043281,0,0
"71647",175.952377129486,0,0,0,22.9988856772889,0.551436309043281,0,0
"71650",49.3679331514384,0,0,0,5.62194983222618,0,0,0
"72368",3.79753331934142,0,0,0,1.0221726967684,0,0,0
"72664",1.26584443978047,0,0,0,0,0.551436309043281,0,0
"72781",2.53168887956094,0,0,0,4.08869078707359,0,0,0
"74649",15.1901332773657,22.4970134426841,23.3383256866436,51.7964753686542,15.3325904515259,1.10287261808656,13.7681439097863,21.9631029356634
"76758",1.26584443978047,1.87475112022367,0.598418607349836,0,0.511086348384198,1.10287261808656,1.19722990519881,10.9815514678317
"76759",5.06337775912189,0.937375560111837,0,0,5.62194983222618,1.10287261808656,0,0
"76760",1.26584443978047,0,0,0,0,0,0,0
"76775",5.06337775912189,479.93628677726,28.1256745454423,36.257532758058,9.19955427091557,77.7525195751027,5.38753457339463,395.335852841942
"76777",1.26584443978047,0.937375560111837,0,0,0,0,0,0
"77133",26.5827332353899,7.49900448089469,1.79525582204951,0,40.3758215223517,1.10287261808656,4.19030466819583,10.9815514678317
"77912",6.32922219890236,0,0,0,0.511086348384198,0,0,0
"78258",0,0,0,0,0,0,0,0
"80338",5.06337775912189,0,1.79525582204951,0,2.04434539353679,0,1.79584485779821,0
"80765",3.79753331934142,0,2.99209303674918,1.72654917895514,0.511086348384198,0,0,0
"82096",1.26584443978047,0,0,0,0,0,0,0
"82382",1.26584443978047,0,0,0,0,0,0,0
