"","Taxonomic_ID","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"63","4374",4,1,0,0,1,0,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Nepenthaceae",NA,NA
"64","4381",4,6,1,6,1,24,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Campanulaceae",NA,NA
"65","4410",1,0,1,2,0,1,0,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae",NA,NA
"66","4429",2,1,0,0,1,0,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Proteales","Nelumbonaceae",NA,NA
"67","4434",1,1,0,2,0,0,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Bataceae",NA,NA
"68","4437",1,0,2,4,3,0,6,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae",NA,NA
"69","4454",3,3,1,0,1,0,2,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Alismatales","Araceae",NA,NA
"70","4479",30,3033,323,1102,14,164,457,808,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"71","4613",1,0,0,0,0,0,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Bromeliaceae",NA,NA
"72","4637",1,0,1,0,0,1,1,0,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Zingiberales","Musaceae",NA,NA
"73","4668",2,9,4,2,4,3,5,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae",NA,NA
"74","4671",4,0,0,6,1,1,0,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Dioscoreales","Dioscoreaceae",NA,NA
"75","4710",2227,91,651,285,1530,15261,582,41,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Arecales","Arecaceae",NA,NA
"76","4747",2,2,0,0,1,1,0,4,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Orchidaceae",NA,NA
"77","4893",7,5,3,6,8,7,0,4,"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae",NA,NA
"78","5654",1,0,2,4,2,0,0,4,"Eukaryota",NA,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",NA,NA
"79","5809",1,1,0,0,0,1,0,0,"Eukaryota",NA,"Apicomplexa","Conoidasida","Eucoccidiorida","Sarcocystidae",NA,NA
"80","6214",1,0,0,0,0,2,0,0,"Eukaryota","Metazoa","Platyhelminthes","Cestoda","Cyclophyllidea","Hymenolepididae",NA,NA
"81","6553",1,0,0,0,0,0,0,0,"Eukaryota","Metazoa","Mollusca","Bivalvia","Arcoida","Arcidae",NA,NA
"82","6563",2,1,2,6,2,3,2,0,"Eukaryota","Metazoa","Mollusca","Bivalvia","Ostreida","Ostreidae",NA,NA
"83","6846",1,0,0,2,0,1,0,0,"Eukaryota","Metazoa","Arthropoda","Merostomata","Xiphosura","Limulidae",NA,NA
"84","6952",1,0,0,0,0,0,0,0,"Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Pyroglyphidae",NA,NA
"85","7042",1,0,0,0,0,1,0,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA
"86","7055",5,0,0,0,5,0,0,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Scarabaeidae",NA,NA
"87","7089",21,0,11,0,2,0,24,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Bombycidae",NA,NA
"88","7100",2,0,1,0,2,9,0,21,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae",NA,NA
"89","7114",1,0,0,2,1,0,0,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Pieridae",NA,NA
"90","7128",4,0,1,0,1,0,0,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Sphingidae",NA,NA
"91","7135",8,1,594,2,17,17,2312,12,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Pyralidae",NA,NA
"92","7157",1,0,0,4,0,0,2,4,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Culicidae",NA,NA
"93","7211",4,1,1,0,0,0,0,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Tephritidae",NA,NA
"94","7366",1,0,0,2,0,0,0,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Muscidae",NA,NA
"95","7371",3,0,1,0,2,0,2,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Calliphoridae",NA,NA
"96","7402",2,1,0,0,1,1,1,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA
"97","7438",1,0,0,0,0,1,0,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Vespidae",NA,NA
"98","7458",735,1442,617,1003,731,1781,687,190,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae",NA,NA
"99","7501",1,0,0,0,0,0,0,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Blattodea","Termopsidae",NA,NA
"100","10442",2,0,0,0,2,1,0,0,"Viruses",NA,NA,NA,NA,"Baculoviridae",NA,NA
"101","10508",1,0,0,0,0,0,0,0,"Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae",NA,NA
"102","10662",46,244,210,232,100,128,157,379,"Viruses",NA,"Uroviricota","Caudoviricetes","Caudovirales","Myoviridae",NA,NA
"103","10699",200,554,1364,497,1012,915,2171,202,"Viruses",NA,"Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae",NA,NA
"104","10744",28,0,0,0,24,0,1,0,"Viruses",NA,"Uroviricota","Caudoviricetes","Caudovirales","Podoviridae",NA,NA
